code,system,display,industry_code
0010,urn:oid:2.16.840.1.114222.4.5.339,Chief Executives,9190
0020,urn:oid:2.16.840.1.114222.4.5.339,General and Operations Managers,9190
0030,urn:oid:2.16.840.1.114222.4.5.339,Legislators,9390
0040,urn:oid:2.16.840.1.114222.4.5.339,Advertising and Promotions Managers,9190
0051,urn:oid:2.16.840.1.114222.4.5.339,Marketing Managers,9190
0052,urn:oid:2.16.840.1.114222.4.5.339,Sales Managers,5790
0060,urn:oid:2.16.840.1.114222.4.5.339,Public Relations and Fundraising Managers,9190
0101,urn:oid:2.16.840.1.114222.4.5.339,Administrative Services Managers,9190
0102,urn:oid:2.16.840.1.114222.4.5.339,Facilities Managers,9190
0110,urn:oid:2.16.840.1.114222.4.5.339,Computer and Information Systems Managers,9190
0120,urn:oid:2.16.840.1.114222.4.5.339,Financial Managers,9380
0135,urn:oid:2.16.840.1.114222.4.5.339,Compensation and Benefits Managers,9190
0136,urn:oid:2.16.840.1.114222.4.5.339,Human Resources Managers,9190
0137,urn:oid:2.16.840.1.114222.4.5.339,Training and Development Managers,9190
0140,urn:oid:2.16.840.1.114222.4.5.339,Industrial Production Managers,3990
0150,urn:oid:2.16.840.1.114222.4.5.339,Purchasing Managers,9190
0160,urn:oid:2.16.840.1.114222.4.5.339,"Transportation, Storage, and Distribution Managers",6390
0205,urn:oid:2.16.840.1.114222.4.5.339,"Farmers, Ranchers, and Other Agricultural Managers",0290
0220,urn:oid:2.16.840.1.114222.4.5.339,Construction Managers,7690
0230,urn:oid:2.16.840.1.114222.4.5.339,Education and Childcare Administrators,9190
0300,urn:oid:2.16.840.1.114222.4.5.339,Architectural and Engineering Managers,9190
0310,urn:oid:2.16.840.1.114222.4.5.339,Food Service Managers,8680
0325,urn:oid:2.16.840.1.114222.4.5.339,Funeral Home Managers,9190
0335,urn:oid:2.16.840.1.114222.4.5.339,Entertainment and Recreation Managers,8670
0340,urn:oid:2.16.840.1.114222.4.5.339,Lodging Managers,9190
0350,urn:oid:2.16.840.1.114222.4.5.339,Medical and Health Services Managers,8192
0360,urn:oid:2.16.840.1.114222.4.5.339,Natural Sciences Managers,9190
0400,urn:oid:2.16.840.1.114222.4.5.339,Postmasters and Mail Superintendents,9190
0410,urn:oid:2.16.840.1.114222.4.5.339,"Property, Real Estate, and Community Association Managers",7072
0420,urn:oid:2.16.840.1.114222.4.5.339,Social and Community Service Managers,9190
0425,urn:oid:2.16.840.1.114222.4.5.339,Emergency Management Directors,9190
0426,urn:oid:2.16.840.1.114222.4.5.339,"Personal Service Managers, All Other",9190
0440,urn:oid:2.16.840.1.114222.4.5.339,"Managers, All Other",9190
0500,urn:oid:2.16.840.1.114222.4.5.339,"Agents and Business Managers of Artists, Performers, and Athletes",8670
0510,urn:oid:2.16.840.1.114222.4.5.339,"Buyers and Purchasing Agents, Farm Products",0290
0520,urn:oid:2.16.840.1.114222.4.5.339,"Wholesale and Retail Buyers, Except Farm Products",5790
0530,urn:oid:2.16.840.1.114222.4.5.339,"Purchasing Agents, Except Wholesale, Retail, and Farm Products",5790
0540,urn:oid:2.16.840.1.114222.4.5.339,"Claims Adjusters, Appraisers, Examiners, and Investigators",9380
0565,urn:oid:2.16.840.1.114222.4.5.339,Compliance Officers,9390
