code,display
338, Native Village of Afognak
339, Agdaagux Tribe of King Cove
340, Native Village of Akhiok
341, Akiachak Native Community
342, Akiak Native Community
343, Native Village of Akutan
344, Village of Alakanuk
345, Alatna Village
346, Native Village of Aleknagik
347, Algaaciq Native Village (St. Mary's)
348, Allakaket Village
349, Native Village of Ambler
350, Village of Anaktuvuk Pass
351, Yupiit of Andreafski
352, Angoon Community Association
353, Village of Aniak
354, Anvik Village
355, Arctic Village
356, Asa'carsarmiut Tribe
357, Native Village of Atka
358, Village of Atmautluak
359, Native Village of Atqasuk
360, Native Village of Barrow Inupiat Traditional Government
361, Beaver Village
362, Native Village of Belkofski
363, Village of Bill Moore's Slough
364, Birch Creek Tribe
365, Native Village of Brevig Mission
366, Native Village of Buckland
367, Native Village of Cantwell
368, Native Village of Chenega (aka Chanega)
369, Chalkyitsik Village
370, Village of Chefornak
371, Chevak Native Village
372, Chickaloon Native Village
373, Chignik Bay Tribal Council
374, Native Village of Chignik Lagoon
375, Chignik Lake Village
376, Chilkat Indian Village (Klukwan)
377, Chilkoot Indian Association (Haines)
378, Chinik Eskimo Community (Golovin)
379, Cheesh-Na Tribe
380, Native Village of Chitina
381, "Native Village of Chuathbaluk (Russian Mission, Kuskokwim)"
382, Chuloonawick Native Village
383, Circle Native Community
384, Village of Clarks Point
385, Native Village of Council
386, Craig Tribal Association
387, Village of Crooked Creek
388, Curyung Tribal Council
389, Native Village of Deering
390, Native Village of Diomede (aka Inalik)
391, Village of Dot Lake
392, Douglas Indian Association
393, Native Village of Eagle
394, Native Village of Eek
395, Egegik Village
396, Eklutna Native Village
397, Native Village of Ekuk
398, Native Village of Ekwok
399, Native Village of Elim
400, Emmonak Village
401, Evansville Village (aka Bettles Field)
402, Native Village of Eyak (Cordova)
403, Native Village of False Pass
404, Native Village of Fort Yukon
405, Native Village of Gakona
406, Galena Village (aka Louden Village)
407, Native Village of Gambell
408, Native Village of Georgetown
409, Native Village of Goodnews Bay
410, Organized Village of Grayling (aka Holikachuk)
411, Gulkana Village Council
412, Native Village of Hamilton
413, Healy Lake Village
414, Holy Cross Tribe
415, Hoonah Indian Association
416, Native Village of Hooper Bay
417, Hughes Village
418, Huslia Village
419, Hydaburg Cooperative Association
420, Igiugig Village
421, Village of Iliamna
422, Inupiat Community of the Arctic Slope
423, Iqugmiut Traditional Council
424, Ivanof Bay Tribe
425, Kaguyak Village
426, Organized Village of Kake
427, Kaktovik Village (aka Barter Island)
428, Village of Kalskag
429, Village of Kaltag
430, Native Village of Kanatak
431, Native Village of Karluk
432, Organized Village of Kasaan
433, Kasigluk Traditional Elders Council
434, Kenaitze Indian Tribe
435, Ketchikan Indian Community
436, Native Village of Kiana
437, King Island Native Community
438, King Salmon Tribe
439, Native Village of Kipnuk
440, Native Village of Kivalina
441, Klawock Cooperative Association
442, Native Village of Kluti Kaah (aka Copper Center)
443, Knik Tribe
444, Native Village of Kobuk
445, Kokhanok Village
446, Native Village of Kongiganak
447, Village of Kotlik
448, Native Village of Kotzebue
449, Native Village of Koyuk
450, Koyukuk Native Village
451, Organized Village of Kwethluk
452, Native Village of Kwigillingok
453, Native Village of Kwinhagak (aka Quinhagak)
454, Native Village of Larsen Bay
455, Levelock Village
456, Tangirnaq Native Village
457, Lime Village
458, Village of Lower Kalskag
459, Manley Hot Springs Village
460, Manokotak Village
461, Native Village of Marshall (aka Fortuna Ledge)
462, Native Village of Mary's Igloo
463, McGrath Native Village
464, Native Village of Mekoryuk
465, Mentasta Traditional Council
466, "Metlakatla Indian Community, Annette Island Reserve"
467, Native Village of Minto
468, Naknek Native Village
469, Native Village of Nanwalek (aka English Bay)
470, Native Village of Napaimute
471, Native Village of Napakiak
472, Native Village of Napaskiak
473, Native Village of Nelson Lagoon
