label,preset_name,code,system,value_type,quantity_min,quantity_max,quantity_unit,priority,notes
Glucose [Mass/volume] in Serum or Plasma,Low Range,2345-7,http://loinc.org,Quantity,40,69,mg/dL,1,
Glucose [Mass/volume] in Serum or Plasma,Normal Range,2345-7,http://loinc.org,Quantity,70,105,mg/dL,2,
Glucose [Mass/volume] in Serum or Plasma,High Range,2345-7,http://loinc.org,Quantity,106,200,mg/dL,3,
Urea nitrogen [Mass/volume] in Serum or Plasma,Low Range,3094-0,http://loinc.org,Quantity,3,6,mg/dL,1,
Urea nitrogen [Mass/volume] in Serum or Plasma,Normal Range,3094-0,http://loinc.org,Quantity,7,25,mg/dL,2,
Urea nitrogen [Mass/volume] in Serum or Plasma,High Range,3094-0,http://loinc.org,Quantity,26,60,mg/dL,3,
Creatinine [Mass/volume] in Serum or Plasma,Low Range,2160-0,http://loinc.org,Quantity,0.40,0.69,mg/dL,1,
Creatinine [Mass/volume] in Serum or Plasma,Normal Range,2160-0,http://loinc.org,Quantity,0.70,1.20,mg/dL,2,
Creatinine [Mass/volume] in Serum or Plasma,High Range,2160-0,http://loinc.org,Quantity,1.21,3.00,mg/dL,3,
Calcium [Mass/volume] in Serum or Plasma,Low Range,17861-6,http://loinc.org,Quantity,7,8.5,mg/dL,1,
Calcium [Mass/volume] in Serum or Plasma,Normal Range,17861-6,http://loinc.org,Quantity,8.6,10.3,mg/dL,2,
Calcium [Mass/volume] in Serum or Plasma,High Range,17861-6,http://loinc.org,Quantity,10.4,12,mg/dL,3,
Protein [Mass/volume] in Serum or Plasma,Low Range,2885-2,http://loinc.org,Quantity,5,6.3,g/dL,1,
Protein [Mass/volume] in Serum or Plasma,Normal Range,2885-2,http://loinc.org,Quantity,6.4,8.9,g/dL,2,
Protein [Mass/volume] in Serum or Plasma,High Range,2885-2,http://loinc.org,Quantity,9,10.5,g/dL,3,
Albumin [Mass/volume] in Serum or Plasma,Low Range,1751-7,http://loinc.org,Quantity,2.5,3.4,g/dL,1,
Albumin [Mass/volume] in Serum or Plasma,Normal Range,1751-7,http://loinc.org,Quantity,3.5,5.7,g/dL,2,
Albumin [Mass/volume] in Serum or Plasma,High Range,1751-7,http://loinc.org,Quantity,5.8,6.5,g/dL,3,
Bilirubin.total [Mass/volume] in Serum or Plasma,Low Range,1975-2,http://loinc.org,Quantity,0.1,0.2,mg/dL,1,
Bilirubin.total [Mass/volume] in Serum or Plasma,Normal Range,1975-2,http://loinc.org,Quantity,0.3,1,mg/dL,2,
Bilirubin.total [Mass/volume] in Serum or Plasma,High Range,1975-2,http://loinc.org,Quantity,1.1,5,mg/dL,3,
Alkaline phosphatase [Enzymatic activity/volume] in Serum or Plasma,Low Range,6768-6,http://loinc.org,Quantity,20,33,U/L,1,
Alkaline phosphatase [Enzymatic activity/volume] in Serum or Plasma,Normal Range,6768-6,http://loinc.org,Quantity,34,104,U/L,2,
Alkaline phosphatase [Enzymatic activity/volume] in Serum or Plasma,High Range,6768-6,http://loinc.org,Quantity,105,500,U/L,3,
Alanine aminotransferase [Enzymatic activity/volume] in Serum or Plasma,Normal Range,1742-6,http://loinc.org,Quantity,7,52,U/L,1,
Alanine aminotransferase [Enzymatic activity/volume] in Serum or Plasma,High Range,1742-6,http://loinc.org,Quantity,53,200,U/L,2,
Aspartate aminotransferase [Enzymatic activity/volume] in Serum or Plasma,Normal Range,1920-8,http://loinc.org,Quantity,13,39,U/L,1,
Aspartate aminotransferase [Enzymatic activity/volume] in Serum or Plasma,High Range,1920-8,http://loinc.org,Quantity,40,200,U/L,2,
