code,system,display
0170,urn:oid:2.16.840.1.114222.4.5.336,Crop Production
0180,urn:oid:2.16.840.1.114222.4.5.336,Animal Production and Aquaculture
0190,urn:oid:2.16.840.1.114222.4.5.336,Forestry except Logging
0270,urn:oid:2.16.840.1.114222.4.5.336,Logging
0280,urn:oid:2.16.840.1.114222.4.5.336,"Fishing, Hunting and Trapping"
0290,urn:oid:2.16.840.1.114222.4.5.336,Support Activities For Agriculture and Forestry
0370,urn:oid:2.16.840.1.114222.4.5.336,Oil and Gas Extraction
0380,urn:oid:2.16.840.1.114222.4.5.336,Coal Mining
0390,urn:oid:2.16.840.1.114222.4.5.336,Metal Ore Mining
0470,urn:oid:2.16.840.1.114222.4.5.336,Nonmetallic Mineral Mining and Quarrying
0480,urn:oid:2.16.840.1.114222.4.5.336,Not Specified Type of Mining
0490,urn:oid:2.16.840.1.114222.4.5.336,Support Activities For Mining
0570,urn:oid:2.16.840.1.114222.4.5.336,"Electric Power Generation, Transmission and Distribution"
0580,urn:oid:2.16.840.1.114222.4.5.336,Natural Gas Distribution
0590,urn:oid:2.16.840.1.114222.4.5.336,"Electric and Gas, and Other Combinations"
0670,urn:oid:2.16.840.1.114222.4.5.336,"Water, Steam, Air-Conditioning, and Irrigation Systems"
0680,urn:oid:2.16.840.1.114222.4.5.336,Sewage Treatment Facilities
0690,urn:oid:2.16.840.1.114222.4.5.336,Not Specified Utilities
0770,urn:oid:2.16.840.1.114222.4.5.336,Construction
1070,urn:oid:2.16.840.1.114222.4.5.336,"Animal Food, Grain and Oilseed Milling"
1080,urn:oid:2.16.840.1.114222.4.5.336,Sugar and Confectionery Products
1090,urn:oid:2.16.840.1.114222.4.5.336,Fruit and Vegetable Preserving and Specialty Food Manufacturing
1170,urn:oid:2.16.840.1.114222.4.5.336,Dairy Product Manufacturing
1180,urn:oid:2.16.840.1.114222.4.5.336,Animal Slaughtering and Processing
1190,urn:oid:2.16.840.1.114222.4.5.336,Retail Bakeries
1270,urn:oid:2.16.840.1.114222.4.5.336,"Bakeries and Tortilla Manufacturing, except Retail Bakeries"
1280,urn:oid:2.16.840.1.114222.4.5.336,"Seafood and Other Miscellaneous Foods, N.E.C."
1290,urn:oid:2.16.840.1.114222.4.5.336,Not Specified Food Industries
1370,urn:oid:2.16.840.1.114222.4.5.336,Beverage Manufacturing
1390,urn:oid:2.16.840.1.114222.4.5.336,Tobacco Manufacturing
1470,urn:oid:2.16.840.1.114222.4.5.336,"Fiber, Yarn, and Thread Mills"
1480,urn:oid:2.16.840.1.114222.4.5.336,"Fabric Mills, except Knitting Mills"
1490,urn:oid:2.16.840.1.114222.4.5.336,Textile and Fabric Finishing and Fabric Coating Mills
1570,urn:oid:2.16.840.1.114222.4.5.336,Carpet and Rug Mills
1590,urn:oid:2.16.840.1.114222.4.5.336,"Textile Product Mills, except Carpet and Rug"
1670,urn:oid:2.16.840.1.114222.4.5.336,"Knitting Fabric Mills, and Apparel Knitting Mills"
1691,urn:oid:2.16.840.1.114222.4.5.336,"Cut and Sew, and Apparel Accessories and Other Apparel Manufacturing"
1770,urn:oid:2.16.840.1.114222.4.5.336,Footwear Manufacturing
1790,urn:oid:2.16.840.1.114222.4.5.336,Leather Tanning and Finishing and Other Allied Products Manufacturing
1870,urn:oid:2.16.840.1.114222.4.5.336,"Pulp, Paper, and Paperboard Mills"
1880,urn:oid:2.16.840.1.114222.4.5.336,Paperboard Container Manufacturing
1890,urn:oid:2.16.840.1.114222.4.5.336,Miscellaneous Paper and Pulp Products
1990,urn:oid:2.16.840.1.114222.4.5.336,Printing and Related Support Activities
